timestamp,iteration,temp_lpd_mC,temp_fpd_mC,temp_pl_mC,power_uW,vccint_mV,vccbram_mV,pl0_ref_ctrl,fpga_state,overlay
2026-09-21T10:55:37+00:00,0,32655,30479,29003,3370000,721,842,0x01010500,operating,applied
2026-09-21T10:55:42+00:00,1,30293,30137,31225,3360000,719,844,0x01010500,operating,applied
2026-09-21T10:55:47+00:00,2,31878,30091,30930,3350000,719,844,0x01010500,operating,applied
2026-09-21T10:55:52+00:00,3,31614,31490,31365,3380000,720,844,0x01010500,operating,applied
2026-09-21T10:55:57+00:00,4,32376,30728,29251,3440000,721,843,0x01010500,operating,applied
2026-09-21T10:56:02+00:00,5,31474,29764,29407,3360000,721,841,0x01010500,operating,applied
2026-09-21T10:56:08+00:00,6,31940,29904,30915,3370000,721,841,0x01010500,operating,applied
2026-09-21T10:56:13+00:00,7,30324,30200,30604,3370000,720,843,0x01010500,operating,applied
2026-09-21T10:56:18+00:00,8,30713,30262,29578,3380000,719,842,0x01010500,operating,applied
2026-09-21T10:56:23+00:00,9,31474,30044,30200,3440000,721,844,0x01010500,operating,applied
2026-09-21T10:56:28+00:00,10,31179,29904,29935,3360000,721,846,0x01010500,operating,applied
2026-09-21T10:56:33+00:00,11,30619,29998,31396,3360000,721,846,0x01010500,operating,applied
